Old Order Id,What is wrong,Magento Sku/eCodes_ID,gp_sku/product_sk,
 1040089-18882318,gpsku empty,CS-P-2003-000001,8723S03,
 1040430-14449081,Cannot find PD-W-FL-P-2004-000016,,,
 1040962-34057284,gpsku mismatch,PD-W-SP-P-2009-000001,8760SP09,8700SP09
 1041005-72198449,gpsku mismatch,PD-W-VA-P-2009-000001,8730PVA09   ,8730PVA09
 1041023-11399934,gpsku mismatch,PD-W-SP-P-2009-000001,8760SP09,8700SP09
 1041028-31964374,gpsku empty,CC-P-2009-000001,870P09,
 1042162-64979225,gpsku empty,CA-P-2010-000007,8700SCA10,
 1042220-21314176,gpsku empty,YC-P-2008-000006,8705SNYC08,
 1043404-56814497,gpsku mismatch,PD-W-VA-P-2009-000001,8730PVA09   ,8730PVA09
1000065,gpsku empty,IC-P-2000-000004,8720S00,
 1007712-49300925,gpsku empty,IC-P-2006-000019,8705S06,
 1025457-62089287,gpsku empty,IC-P-2000-000001,8700S00,
 1004511-31755902,gpsku empty,IC-P-1996-000001,8730S96,
 1004512-31755902,gpsku empty,IC-P-1997-000001,8796S97,
 1007721-90393946,gpsku empty,IC-P-2006-000016,8706S06,
 1007722-96521985,gpsku empty,IC-P-1992-000001,8722S92,
 1025464-70967166,gpsku empty,IC-P-2009-000003,8740S09,
 1025487-48109929,gpsku empty,CA-P-2010-000007,8700SCA10,
 1025488-32278563,gpsku empty,CA-P-2010-000007,8700SCA10,
 1037339-92487998,gpsku empty,IC-P-2009-000005,8730S09,
 1037351-59062939,gpsku empty,CC-P-2006-000010,8709S06,
 1037366-12761268,gpsku empty,IC-P-2009-000019,8705S09,
 1037393-98897853,gpsku empty,IC-P-1998-000004,8750S98,
 1001203-71971932,gpsku empty,IC-P-2003-000002,8710S03,
1000086,gpsku empty,IC-P-2003-000002,8710S03,
 1017362-20490789,gpsku empty,IC-P-2006-000001,8700S06,
 1017350-68225758,gpsku empty,IC-P-2009-000001,8700S09,
 1025510-94228699,gpsku empty,IC-P-2006-000019,8705S06,
 1025536-96872041,gpsku empty,IC-P-2009-000019,8705S09,
 1025514-18765366,gpsku empty,CC-P-2009-000001,870P09,
